material_id,name,phase,category,subcategory,description,specifications,unit,usage_type,usage_ratio,quality_grade,brand,notes,functional_tag,synonyms,room_type,finishing_tier_min
M0022,Shuttering plywood (film faced),Excavation & Foundation,Formwork,Plywood,Formwork sheets for footings/columns,12mm film-faced,sheet,per_sqft,0.004,standard,,,structural,,general,economy
M0023,Shuttering oil (mould oil),Excavation & Foundation,Chemical,Formwork release,Release agent for formwork,Standard mould oil,L,per_sqft,0.00012,standard,,,structural,,general,economy
M0024,Nails for shuttering (2–3 in),Excavation & Foundation,Consumable,Fasteners,Nails for formwork fixing,2–3 inch,kg,per_sqft,0.0018,standard,,,structural,,general,economy
M0025,Column concrete cement,Grey Structure,Concrete,Cement,Cement for RCC columns/beams/slabs,OPC 53/42.5,bag,per_sqft,0.0046,standard,,,structural,,general,economy
M0026,Column concrete sand,Grey Structure,Concrete,Aggregate fine,Sand for RCC,Coarse sand,cft,per_sqft,0.037,standard,,,structural,,general,economy
M0027,Column concrete crush (bajri),Grey Structure,Concrete,Aggregate coarse,Crush for RCC,1/2–3/4 in,cft,per_sqft,0.074,standard,,,structural,bajri; crush,general,economy
M0028,Steel rebar (sarya) for structure,Grey Structure,Steel,Rebar,Steel for beams/slabs/columns,Grade 60 / PS 500,kg,per_sqft,1.05,standard,,,structural,sarya; rebar; steel,general,economy
M0029,Steel stirrup wire / hoops,Grey Structure,Steel,Accessories,Smaller dia steel for stirrups,6–8mm,kg,per_sqft,0.08,standard,,,structural,,general,economy
M0030,Formwork props (steel),Grey Structure,Formwork,Supports,Adjustable props for slab shuttering,Standard adjustable,day,per_sqft,0.02,standard,,Rental modeled as day; price in pricing_data reflects daily rate,structural,,general,economy
M0031,Wood battens for shuttering,Grey Structure,Formwork,Timber,Wood pieces for shuttering support,2x3 in,rft,per_sqft,0.04,standard,,,structural,,general,economy
M0032,Scaffolding pipe clamps (couplers),Grey Structure,Consumable,Scaffolding,Clamps/couplers for scaffolding,Swivel/fixed,pcs,per_sqft,0.015,standard,,Often rental/return; keep for completeness,structural,,general,economy
M0033,Concrete curing compound (optional),Grey Structure,Chemical,Curing,Curing aid where water curing limited,ASTM C309,L,per_sqft,5e-05,premium,,,structural,,general,premium
M0034,Bricks Awwal (first class),Masonry & Walls,Masonry,Bricks,Primary walling bricks (a1),Awwal (kiln),pcs,per_sqft,8.5,standard,,,structural,eent; bricks,general,economy
M0035,Bricks Doem (second class),Masonry & Walls,Masonry,Bricks,Secondary brick quality for non-critical work,Doem (kiln),pcs,per_sqft,8.5,economy,,,structural,eent; bricks,general,economy
M0036,Cement for brick masonry,Masonry & Walls,Masonry,Cement,Cement for brickwork mortar,OPC 42.5/53,bag,per_sqft,0.0013,standard,,,structural,eent; bricks,general,economy
M0037,Sand for brick masonry,Masonry & Walls,Masonry,Sand,Sand for mortar,Coarse sand,cft,per_sqft,0.012,standard,,,structural,eent; bricks,general,economy
M0038,Chicken mesh / GI wire mesh,Masonry & Walls,Metal,Mesh,Mesh at junctions to prevent cracks,GI mesh 1/2 in,ft2,per_sqft,0.06,standard,,,structural,,general,economy
M0039,Wall ties / L-clamps,Masonry & Walls,Metal,Fixings,Ties between masonry and RCC,GI/steel,pcs,per_sqft,0.05,standard,,,structural,,general,economy
M0040,Door/window lintel steel (angle),Masonry & Walls,Steel,Sections,Angle iron for lintels where used,MS angle 2x2,kg,per_sqft,0.03,standard,,,structural,,general,economy
M0041,Concrete blocks (optional),Masonry & Walls,Masonry,Blocks,Alternative to bricks for some walls,6 in solid/hollow,pcs,per_sqft,1.2,standard,,,structural,,general,economy
M0042,PPRC pipe (hot/cold) 1/2 in,Plumbing (Rough + Final),Plumbing,PPRC,PPRC for hot/cold distribution,PN20,ft,per_sqft,0.06,standard,,Common brands: Master/Popular (optional),plumbing,,general,economy
M0043,PPRC pipe 3/4 in,Plumbing (Rough + Final),Plumbing,PPRC,Main lines/branches,PN20,ft,per_sqft,0.03,standard,,,plumbing,,general,economy
M0044,PPRC pipe 1 in,Plumbing (Rough + Final),Plumbing,PPRC,Main supply lines,PN20,ft,per_sqft,0.012,standard,,,plumbing,,general,economy
M0045,PPRC fittings (assorted),Plumbing (Rough + Final),Plumbing,Fittings,Elbows/tees/sockets/unions,PN20 set,pcs,per_sqft,0.22,standard,,,plumbing,,general,economy
M0046,PPRC welding rods / tips,Plumbing (Rough + Final),Consumable,Tools & tips,PPRC fusion tool consumables,Standard,pcs,per_marla,0.25,standard,,,plumbing,,general,economy
M0047,UPVC sewer pipe 4 in,Plumbing (Rough + Final),Plumbing,UPVC,Soil/waste main lines,SN4/SN8,ft,per_sqft,0.025,standard,,,plumbing,,general,economy
M0048,UPVC sewer pipe 6 in (optional),Plumbing (Rough + Final),Plumbing,UPVC,Main sewer where required,SN4/SN8,ft,per_sqft,0.006,standard,,,plumbing,,general,economy
M0049,UPVC fittings (assorted),Plumbing (Rough + Final),Plumbing,Fittings,Bends/tees/reducers/couplers,SN4/SN8,pcs,per_sqft,0.12,standard,,,plumbing,,general,economy
M0050,Solvent cement / UPVC glue,Plumbing (Rough + Final),Chemical,Adhesive,Glue for UPVC joints,500ml,can,per_marla,0.18,standard,,,plumbing,,general,economy
M0051,PTFE tape (Teflon),Plumbing (Rough + Final),Consumable,Sealing,Thread sealing for metal/PPR fittings,12mm x 0.1mm,roll,per_marla,0.8,standard,,,plumbing,,general,economy
M0052,Hose clamps (jubilee),Plumbing (Rough + Final),Consumable,Clamps,Clamps for flexible connections,1/2–1 in,pcs,per_marla,6.0,standard,,,plumbing,,general,economy
M0053,Pipe clamps / clips,Plumbing (Rough + Final),Consumable,Fixings,Fixing pipes to walls/slabs,1/2–1 in,pcs,per_sqft,0.08,standard,,,plumbing,,general,economy
M0054,Floor trap / nahni trap,Plumbing (Rough + Final),Plumbing,Drainage,Drain trap for bathrooms/kitchen,4x4 or 6x6,pcs,per_marla,0.9,standard,,,plumbing,,general,economy
M0055,Gully trap,Plumbing (Rough + Final),Plumbing,Drainage,Outdoor gully trap,6x6,pcs,per_marla,0.25,standard,,,plumbing,,general,economy
M0056,Manhole cover (RCC),Plumbing (Rough + Final),Plumbing,Drainage,Manhole cover & frame,18x18/24x24,pcs,per_marla,0.18,standard,,,plumbing,,general,economy
M0057,Water tank (overhead) 500–1000L,Plumbing (Rough + Final),Plumbing,Storage,Overhead storage tank,HDPE,pcs,per_house,1.0,standard,,Size depends on house,plumbing,,general,economy
M0058,Electric wire 1.5mm2 (lighting),Electrical (Rough + Final),Electrical,Wiring,Lighting circuit wire,Cu PVC 1.5mm2,m,per_sqft,0.85,standard,,,electrical,,general,economy
M0059,Electric wire 2.5mm2 (sockets),Electrical (Rough + Final),Electrical,Wiring,Power socket circuit wire,Cu PVC 2.5mm2,m,per_sqft,0.65,standard,,,electrical,,general,economy
M0060,Electric wire 4mm2 (AC/geyser),Electrical (Rough + Final),Electrical,Wiring,Heavier load wiring,Cu PVC 4mm2,m,per_sqft,0.22,standard,,,electrical,,general,economy
M0061,Earth wire (green/yellow),Electrical (Rough + Final),Electrical,Wiring,Earthing conductor,Cu PVC 1.5–2.5mm2,m,per_sqft,0.28,standard,,,electrical,,general,economy
M0062,Conduit PVC 20mm,Electrical (Rough + Final),Electrical,Conduit,PVC conduit for concealed wiring,Heavy gauge,ft,per_sqft,0.55,standard,,,electrical,,general,economy
M0063,Conduit PVC 25mm,Electrical (Rough + Final),Electrical,Conduit,For mains/AC lines,Heavy gauge,ft,per_sqft,0.12,standard,,,electrical,,general,economy
M0064,Conduit bends/saddles/junction boxes,Electrical (Rough + Final),Electrical,Accessories,Conduit fittings and boxes,Assorted,pcs,per_sqft,0.35,standard,,,electrical,,general,economy
M0065,Switch boxes (GI/PVC),Electrical (Rough + Final),Electrical,Back boxes,Back boxes for switches/sockets,1–12 gang,pcs,per_sqft,0.08,standard,,,electrical,,general,economy
M0066,Switches & sockets (standard),Electrical (Rough + Final),Electrical,Devices,Switches/sockets set,10A/13A,pcs,per_sqft,0.08,standard,,Brands optional: Schneider/Clipsal/Local,electrical,,general,economy
M0067,Distribution board (DB) 8–12 way,Electrical (Rough + Final),Electrical,Panel,Main DB with MCBs,Single phase,pcs,per_house,1.0,standard,,,electrical,,general,economy
M0068,MCB 10A/16A/20A,Electrical (Rough + Final),Electrical,Protection,MCBs for circuits,IEC,pcs,per_sqft,0.02,standard,,,electrical,,general,economy
M0069,RCCB/ELCB (safety),Electrical (Rough + Final),Electrical,Protection,Leakage protection device,30mA,pcs,per_house,1.0,standard,,,electrical,,general,economy
M0070,Ceiling rose / batten holder,Electrical (Rough + Final),Electrical,Accessories,Light point accessory,B22/E27,pcs,per_sqft,0.05,standard,,,electrical,,general,economy
M0071,Electrical tape,Electrical (Rough + Final),Consumable,Insulation,Insulating tape for joints,PVC tape,roll,per_marla,1.2,standard,,,electrical,,general,economy
M0072,Cable ties (zip ties),Electrical (Rough + Final),Consumable,Fixings,Cable bundling ties,150–250mm,pack,per_marla,0.2,standard,,,electrical,,general,economy
M0073,Wall plugs (rawl plugs),Electrical (Rough + Final),Consumable,Fasteners,Plastic plugs for screws,6–10mm,pcs,per_sqft,0.12,standard,,,electrical,,general,economy
M0074,Screws assorted (wood/metal),Electrical (Rough + Final),Consumable,Fasteners,Screws for fixtures/switch plates,1/2–2 in,pcs,per_sqft,0.2,standard,,,electrical,,general,economy
M0075,Plaster cement,Plastering & Screeding,Plaster,Cement,Cement for internal/external plaster,OPC 42.5/53,bag,per_sqft,0.0028,standard,,,finishing,,general,economy
M0076,Plaster sand,Plastering & Screeding,Plaster,Sand,Sand for plaster (fine),Fine sand,cft,per_sqft,0.028,standard,,,finishing,,general,economy
M0077,Plaster additive (bonding agent),Plastering & Screeding,Chemical,Additive,Bonding agent for difficult surfaces,SBR/latex,L,per_sqft,6e-05,standard,,,finishing,,general,economy
M0078,Corner beads (GI),Plastering & Screeding,Metal,Profiles,GI corner beads for sharp edges,8 ft length,rft,per_sqft,0.02,standard,,,finishing,,general,economy
M0079,Screed cement,Plastering & Screeding,Screed,Cement,Cement for floor screed/leveling,OPC 42.5/53,bag,per_sqft,0.0016,standard,,,finishing,,general,economy
M0080,Screed sand,Plastering & Screeding,Screed,Sand,Sand for screed,Coarse sand,cft,per_sqft,0.02,standard,,,finishing,,general,economy
M0081,Tile adhesive (optional),Flooring & Tiling,Tiling,Adhesive,Cementitious tile adhesive,20kg,bag,per_sqft,0.0006,standard,,,finishing,,general,economy
M0082,Tile grout,Flooring & Tiling,Tiling,Grout,Grout for tile joints,White/colored,kg,per_sqft,0.03,standard,,,finishing,,general,economy
M0083,Tile spacers,Flooring & Tiling,Consumable,Accessories,Spacers for consistent joints,2–3mm,pcs,per_sqft,0.6,standard,,,finishing,,general,economy
M0084,Floor tiles (standard),Flooring & Tiling,Tiling,Tiles,Main floor tiles,24x24 / 12x24,ft2,per_sqft,1.05,standard,,,finishing,,general,economy
M0085,Wall tiles (bath/kitchen),Flooring & Tiling,Tiling,Tiles,Wall tiles for wet areas,12x24 / 10x16,ft2,per_sqft,0.65,standard,,,finishing,,general,economy
M0086,Skirting tile,Flooring & Tiling,Tiling,Tiles,Skirting along walls,4 in height,rft,per_sqft,0.18,standard,,,finishing,,general,economy
M0087,Tile leveling clips (optional),Flooring & Tiling,Consumable,Accessories,Leveling system for large tiles,Standard,pcs,per_sqft,0.08,standard,,,finishing,,general,economy
M0088,Primer coat (wall),Paint & Finishing,Paint,Primer,Primer before emulsion,Water-based,litre,per_sqft,0.00022,standard,,,finishing,,general,economy
M0089,Wall putty,Paint & Finishing,Paint,Putty,Putty for smooth finish,Acrylic/cement putty,kg,per_sqft,0.11,standard,,,finishing,,general,economy
M0090,Emulsion paint (interior),Paint & Finishing,Paint,Topcoat,Interior emulsion paint,Matt/silk,litre,per_sqft,0.00035,standard,,,finishing,,general,economy
M0091,Weather shield paint (exterior),Paint & Finishing,Paint,Topcoat,Exterior paint for weather resistance,Acrylic,litre,per_sqft,0.00028,standard,,,finishing,,general,economy
M0092,Enamel paint (metal/wood),Paint & Finishing,Paint,Topcoat,Enamel for grills/doors,Oil-based,litre,per_sqft,8e-05,standard,,,finishing,,general,economy
M0093,Paint roller sleeve,Paint & Finishing,Consumable,Tools,Roller sleeves replacement,9 in,pcs,per_marla,0.6,standard,,,finishing,,general,economy
M0094,Paint brush set,Paint & Finishing,Consumable,Tools,Brushes for cutting-in and enamel,1–4 in,set,per_marla,0.25,standard,,,finishing,,general,economy
M0095,Sandpaper (assorted grit),Paint & Finishing,Consumable,Abrasives,Sanding walls/wood before paint,80–400 grit,sheet,per_marla,8.0,standard,,,finishing,,general,economy
M0096,Masking tape,Paint & Finishing,Consumable,Protection,Masking edges/fixtures,24–48mm,roll,per_marla,0.7,standard,,,finishing,,general,economy
M0097,Plastic drop sheet,Paint & Finishing,Consumable,Protection,Protect floors/furniture during paint,100–200 micron,pcs,per_marla,0.2,standard,,,finishing,,general,economy
M0098,Bitumen membrane (torch-on),Roofing & Waterproofing,Waterproofing,Membrane,Roof waterproofing membrane,3–4mm,ft2,per_sqft,0.45,standard,,,waterproofing,,general,economy
M0099,Bitumen primer,Roofing & Waterproofing,Waterproofing,Primer,Primer before membrane,Solvent-based,L,per_sqft,0.00012,standard,,,waterproofing,,general,economy
M0100,Waterproofing chemical (integral),Roofing & Waterproofing,Chemical,Additive,Integral waterproofing in plaster/screed,Sika/Cemex type,kg,per_sqft,0.01,standard,,,waterproofing,,general,economy
M0101,PU sealant (roof joints),Roofing & Waterproofing,Chemical,Sealant,Sealant for joints/cracks,PU 600ml,pcs,per_marla,0.2,standard,,,waterproofing,,general,economy
M0102,Silicone sealant (sanitary/frames),Roofing & Waterproofing,Chemical,Sealant,Silicone for wet areas and frames,Neutral cure 300ml,pcs,per_marla,0.5,standard,,,waterproofing,,general,economy
M0103,WPC/wood door frame (chowkhat),Carpentry & Woodwork,Wood,Frames,Door frames,Deodar/Kail/WPC,rft,per_sqft,0.08,standard,,,finishing,,general,economy
M0104,Door shutter (flush),Carpentry & Woodwork,Wood,Doors,Flush doors for internal,32–35mm,ft2,per_sqft,0.06,standard,,,finishing,,general,economy
M0105,Hinges (SS/MS),Carpentry & Woodwork,Hardware,Hinges,Door hinges,4–5 in,pcs,per_marla,6.0,standard,,,finishing,,general,economy
M0106,Door locks (mortise),Carpentry & Woodwork,Hardware,Locks,Locks for doors,Standard,set,per_house,1.0,standard,,Priced per lock set,finishing,,general,economy
M0107,Wood screws (carpentry),Carpentry & Woodwork,Consumable,Fasteners,Screws used in woodwork,1–2.5 in,pcs,per_sqft,0.25,standard,,,finishing,,general,economy
M0108,Wood glue,Carpentry & Woodwork,Chemical,Adhesive,Adhesive for wood joints,PVA 1kg,kg,per_marla,0.2,standard,,,finishing,,general,economy
M0109,Melamine board (wardrobes),Kitchen & Wardrobes,Wood,Boards,Board for cabinets/wardrobes,18mm,ft2,per_sqft,0.35,standard,,,finishing,,kitchen,economy
M0110,Edge band tape,Kitchen & Wardrobes,Consumable,Accessories,Edge banding for boards,0.8–1mm,rft,per_sqft,0.6,standard,,,finishing,,kitchen,economy
M0111,Drawer channels (pair),Kitchen & Wardrobes,Hardware,Channels,Telescopic channels,18–20 in,pair,per_marla,1.2,standard,,,finishing,,kitchen,economy
M0112,Cabinet hinges (soft close optional),Kitchen & Wardrobes,Hardware,Hinges,Kitchen/wardrobe hinges,35mm cup,pcs,per_marla,8.0,standard,,,finishing,,kitchen,economy
M0113,Handles/knobs,Kitchen & Wardrobes,Hardware,Handles,Handles for shutters/drawers,Al/SS,pcs,per_marla,10.0,standard,,,finishing,,kitchen,economy
M0114,Kitchen countertop (granite/quartz),Kitchen & Wardrobes,Finishing,Countertop,Countertop slab and installation,20mm,rft,per_marla,10.0,standard,,,finishing,,kitchen,economy
M0115,Aluminum window frame (powder coated),Aluminum & Glass Work,Aluminum,Frames,Window frames,Series 2/3,rft,per_sqft,0.22,standard,,,finishing,,general,economy
M0116,Aluminum sliding accessories,Aluminum & Glass Work,Hardware,Accessories,Rollers; locks; brushes for sliders,Standard,set,per_marla,0.6,standard,,,finishing,,general,economy
M0117,Glass (clear) 5mm,Aluminum & Glass Work,Glass,Panels,Clear glass for windows,5mm,ft2,per_sqft,0.28,standard,,,finishing,,general,economy
M0118,Glass beading/rubber gasket,Aluminum & Glass Work,Consumable,Gaskets,Gasket/beading for glass fit,Standard,rft,per_sqft,0.12,standard,,,finishing,,general,economy
M0119,Sanitary ware set (WC + basin),Sanitary & Bathroom Fittings,Sanitary,Ware,Basic sanitary set,Standard,sets,per_sqft,0.0045,standard,,,plumbing,,washroom,economy
M0120,Shower set (mixer + head),Sanitary & Bathroom Fittings,Sanitary,Fittings,Shower fittings,Mixer type,set,per_sqft,0.0045,standard,,,plumbing,,washroom,economy
M0121,Angle valves (pair),Sanitary & Bathroom Fittings,Plumbing,Fittings,Angle valves for basin/flush,1/2 in,pair,per_marla,0.6,standard,,,plumbing,,washroom,economy
M0122,Flexible hoses,Sanitary & Bathroom Fittings,Plumbing,Accessories,Flexible connectors for fittings,12–18 in,pcs,per_marla,2.5,standard,,,plumbing,,washroom,economy
M0123,Floor drain cover (SS),Sanitary & Bathroom Fittings,Sanitary,Accessories,SS drain cover for nahni trap,4 in,pcs,per_marla,0.9,standard,,,plumbing,,washroom,economy
M0124,Mirror (bath),Sanitary & Bathroom Fittings,Finishing,Accessories,Bathroom mirror,18x24 in,pcs,per_marla,0.35,standard,,,plumbing,,washroom,economy
M0125,Bathroom accessories set,Sanitary & Bathroom Fittings,Finishing,Accessories,Towel rod; soap dish etc.,Standard,set,per_marla,0.35,standard,,,plumbing,,washroom,economy
M0126,External paving blocks,External Works,External,Paving,Pavers for driveway/paths,60mm,ft2,per_sqft,0.25,standard,,,external,,general,economy
M0127,Boundary wall barbed wire (optional),External Works,External,Security,Barbed wire topping,12 gauge,rft,per_marla,4.0,standard,,,external,,general,economy
M0128,Rainwater downpipe (UPVC),External Works,Plumbing,Drainage,Downpipe for roof rainwater,3 in,ft,per_sqft,0.02,standard,,,external,,general,economy
M0129,Septic tank rings/bricks (if needed),External Works,Plumbing,Septic,Materials for septic tank (where no sewer),As per design,lot,per_house,1.0,standard,,,external,eent; bricks,general,economy
M0130,Construction adhesive (general),Miscellaneous / Consumables (VERY IMPORTANT),Chemical,Adhesive,General-purpose adhesive for fixes,MS polymer,pcs,per_marla,0.15,standard,,,consumable,,general,economy
M0131,Expanding foam filler,Miscellaneous / Consumables (VERY IMPORTANT),Chemical,Filler,Foam for gaps around frames/pipes,750ml,pcs,per_marla,0.25,standard,,,consumable,,general,economy
M0132,Gloves (work),Miscellaneous / Consumables (VERY IMPORTANT),Safety,PPE,Work gloves for labor,Canvas/rubber,pair,per_marla,1.2,standard,,,consumable,,general,economy
M0133,Safety masks (dust),Miscellaneous / Consumables (VERY IMPORTANT),Safety,PPE,Dust masks for cutting/sanding,N95/basic,pcs,per_marla,6.0,standard,,,consumable,,general,economy
M0134,Grinding/cutting disc 4 in,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Tools,Discs for steel/tiles,4 in,pcs,per_marla,2.0,standard,,,consumable,,general,economy
M0135,Drill bits assortment,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Tools,Drill bits for masonry/metal,6–12mm,set,per_site,1.0,standard,,,consumable,,general,economy
M0136,Chalk line reel,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Tools,Marking tool,Standard,pcs,per_site,1.0,standard,,,consumable,,general,economy
M0137,Measuring tape 5–10m,Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Tools,Measurement tool,5–10m,pcs,per_site,1.0,standard,,,consumable,,general,economy
M0138,Buckets (construction),Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Tools,Buckets for mixing/carrying,Plastic 12–16L,pcs,per_marla,1.2,standard,,,consumable,,general,economy
M0139,Wheelbarrow (site),Miscellaneous / Consumables (VERY IMPORTANT),Equipment,Tools,Wheelbarrow for transport,Standard,pcs,per_site,1.0,standard,,,consumable,,general,economy
M0140,Water curing pipe/sprinkler (optional),Miscellaneous / Consumables (VERY IMPORTANT),Consumable,Tools,Simple curing sprinkler head,Standard,pcs,per_site,1.0,standard,,,consumable,,general,economy
M0141,PPRC fitting Elbow 90° 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0142,PPRC fitting Elbow 45° 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0143,PPRC fitting Tee 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0144,PPRC fitting Socket 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0145,PPRC fitting Union 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0146,PPRC fitting Reducer 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0147,PPRC fitting End cap 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0148,PPRC fitting Male threaded adapter 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0149,PPRC fitting Female threaded adapter 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0150,PPRC fitting Ball valve 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0151,PPRC fitting Gate valve 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0152,PPRC fitting Check valve 1/2 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 1/2 in,pcs,per_sqft,0.004,standard,,,plumbing,,general,economy
M0153,PPRC fitting Elbow 90° 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0154,PPRC fitting Elbow 45° 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0155,PPRC fitting Tee 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0156,PPRC fitting Socket 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
M0157,PPRC fitting Union 3/4 in,Plumbing (Rough + Final),Plumbing,Fittings,PPRC fitting used in hot/cold distribution networks.,PN20; 3/4 in,pcs,per_sqft,0.03,standard,,,plumbing,,general,economy
